id,title,url,published_at,pos_score,neutral_score,neg_score,company_name,label
4646679,Microsoft beats Amazon for Pentagon's $10 bln cloud computing contract,https://www.reuters.com/article/us-pentagon-jedi/microsoft-beats-amazon-for-pentagons-10-bln-cloud-computing-contract-idUSKBN1X42IU?feedType=RSS&feedName=topNews,2019-10-26 0:00:00,0.753788,0.158152,0.08806,Microsoft,relevant
3489239,House Votes to Expand Legal Safeguards for LGBTQ People,https://www.newsmax.com/newsfront/Congress-Equality-Act/2021/02/25/id/1011574,2021-02-25 0:00:00,0.681762,0.305286,0.012952,AT&T,irrelevant
2961496,Frequent NSA collaborator AT&T is backing Apple in its fight against the FBI,http://qz.com/630849/frequent-nsa-collaborator-att-is-backing-apple-in-its-fight-against-the-fbi/,2016-03-03 0:00:00,0.212389,0.735735,0.051876,AT&T,relevant
7932040,Intel officials warned well before Tower 22 attack of increased risks from drones,https://www.politico.com/news/2024/02/07/tower-22-attack-drones-00140262,2024-02-07 0:00:00,0.051194,0.907384,0.041423,Intel,irrelevant
4467588,Microsoft brings 'Known Folder Migration' feature to OneDrive consumer users,https://www.zdnet.com/article/microsoft-brings-known-folder-migration-feature-to-onedrive-consumer-users/,2018-08-15 0:00:00,0.616401,0.353141,0.030458,Microsoft,irrelevant
123333,Walmart To Ban Woman Caught On Viral Racist Rant Video,http://www.inquisitr.com/4244592/walmart-to-ban-woman-caught-on-viral-racist-rant-video/,2017-05-25 0:00:00,0.015531,0.231264,0.753205,Walmart,irrelevant
381997,Why did it take us messaging?': Louisiana woman books Airbnb in France. Then she learns what the owner did with the property,https://www.dailydot.com/news/airbnb-host-sells-house-before-check-in/,2025-04-21 0:00:00,0.02369,0.886643,0.089667,Airbnb,irrelevant
7109758,Halloween pet costumes at Walmart,http://feeds.mashable.com/~r/Mashable/~3/1-cTCPVcBvo/walmart-halloween-pet-costumes,2021-10-15 0:00:00,0.017332,0.971662,0.011006,Walmart,irrelevant
6483519,Uber driver charged with raping unconscious 17-year-old in Orange County,http://www.latimes.com/local/lanow/la-me-ln-rape-charge-20161109-story.html,2016-11-10 0:00:00,0.002555,0.025432,0.972013,Uber,irrelevant
250473,Airbnb asked to disclose data on 172 users so far this year,http://feeds.mashable.com/~r/Mashable/~3/hxbjERCZzIw/,2016-09-03 0:00:00,0.02039,0.96163,0.01798,Airbnb,irrelevant
3295123,"Fore! Here Comes Tony Romo, The Golfer, Again.",https://www.forbes.com/sites/barryhorn/2019/05/08/fore-here-comes-tony-romo-the-golfer-again/,2019-05-08 0:00:00,0.048494,0.933056,0.018449,AT&T,irrelevant
7908289,NY Post scorches ‘fake’ intel letter used to sink laptop story: ‘Actual disinfo operation’ helped Biden,https://www.foxnews.com/media/ny-post-scorches-fake-intel-letter-used-sink-laptop-story-actual-disinfo-operation-helped-biden,2023-04-22 0:00:00,0.005514,0.057885,0.936601,Intel,irrelevant
4190801,Microsoft is allegedly creating a Slack competitor,http://feeds.mashable.com/~r/Mashable/~3/BtxLr-tauIU/,2016-09-07 0:00:00,0.012854,0.089628,0.897518,Microsoft,irrelevant
1004237,13 ways to give the gift of Mackinac Island,http://www.mlive.com/entertainment/index.ssf/2016/12/12_mackinac_island_christmas_g.html,2016-12-12 0:00:00,0.702207,0.27809,0.019704,Visa Inc.,irrelevant
1708661,Starbucks Just Revealed The Ideal Drink For Each Zodiac Sign,https://www.bustle.com/p/what-starbucks-drink-you-should-try-according-to-your-zodiac-sign-15954958,2019-02-14 0:00:00,0.604897,0.344786,0.050316,Starbucks,irrelevant
7087340,"Bank of America, M and others disclose gap between CEO and employee pay",http://feeds.bizjournals.com/~r/industry_2/~3/KiN6_zqUX6o/bank-of-america-m-t-and-others-disclose-gap.html,2018-03-14 0:00:00,0.018262,0.865166,0.116572,Bank of America,irrelevant
236428,"How Goldman Sachs, UBS, and more reacted to Walmart's $10 billion 'Black Swan' deal to sell Asda",http://www.businessinsider.com/analyst-reaction-walmart-sale-asda-to-sainsburys-2018-4?utm_source=feedburner&utm_medium=referral,2018-04-30 0:00:00,0.037067,0.69797,0.264963,Walmart,relevant
44709,"Sean Hannity: If Walmart stops selling Confederate flags, they should stop selling rap music too",http://feeds.dailykos.com/~r/dailykos/index/~3/eiJTpBnco60/-Sean-Hannity-If-Walmart-stops-selling-Confederate-flags-they-should-stop-selling-rap-music-too,2015-06-25 0:00:00,0.031268,0.163477,0.805255,Walmart,irrelevant
4297741,Apple takes another step into Microsoft's core territory with Accenture deal,https://www.cnbc.com/2017/08/29/apple-takes-another-step-into-microsofts-core-territory-with-accenture-deal.html,2017-08-29 0:00:00,0.155118,0.777272,0.06761,Microsoft,irrelevant
782429,Harvey Weinstein Taps Trump’s Travel Ban for New ‘Lion’ Oscar Messaging,http://variety.com/2017/film/in-contention/lion-ad-trump-travel-ban-harvey-weinstein-1201983028/,2017-02-09 0:00:00,0.029081,0.747009,0.22391,Visa Inc.,irrelevant
7366870,here's everything I'd buy at Walmart's Black Friday sale,https://www.techradar.com/seasonal-sales/i-shop-deals-for-a-living-heres-everything-id-buy-at-walmarts-black-friday-sale,2023-11-22 0:00:00,0.043416,0.925993,0.030591,Walmart,irrelevant
4813282,Microsoft just introduced an ambitious subscription plan that makes the Xbox the best deal in gaming,https://www.businessinsider.com/microsoft-xbox-one-all-access-2018-8#comments,2018-08-27 0:00:00,0.944738,0.033296,0.021965,Microsoft,relevant
7935361,Intel’s Stock Stock Rallied 91% This Year. Here’s What Drives It Higher in 2024.,https://www.barrons.com/articles/intel-stock-price-nvda-amd-5754f6c8?siteid=yhoof2yptr=yahoo,2023-12-29 0:00:00,0.717997,0.236103,0.0459,Intel,relevant
426333,Shooting at Walmart in El Paso: multiple fatalities,https://www.mercurynews.com/2019/08/03/active-shooter-reported-in-el-paso-mall/,2019-08-03 0:00:00,0.01333,0.921365,0.065304,Walmart,irrelevant
7047614,‘This is why I don’t like Goodwill’: Shopper finds Walmart clearance sweater tagged at $3. Then she sees how much Goodwill is selling it for,https://www.dailydot.com/news/goodwill-upselling-walmart-sweater/,2024-10-27 0:00:00,0.038315,0.293239,0.668446,Walmart,irrelevant
5207105,GM Strike after a week: Sales hold up while parts shortages loom,https://www.cnbc.com/2019/09/25/gm-strike-after-a-week-sales-hold-up-while-parts-shortages-loom.html,2019-09-25 0:00:00,0.026348,0.387472,0.58618,General Motors,relevant
8424613,How grocery stores restock shelves in the age of coronavirus,http://rss.cnn.com/~r/rss/cnn_topstories/~3/sQAY36oKXjE/index.html,2020-03-20 0:00:00,0.090884,0.867061,0.042055,Visa Inc.,irrelevant
6672902,"Uber, Private Ride Drivers to Sue Mayor of London for Discrimination",http://fortune.com/2019/03/01/uber-lawsuit-london-mayor/,2019-03-01 0:00:00,0.006253,0.075732,0.918014,Uber,irrelevant
10490726,We talked to the execs behind Bloomberg's new data partnership with Goldman Sachs. Here's why they think it's a sign of Wall Street's future.,https://www.businessinsider.com/goldman-sachs-bloomberg-data-partnership-shows-wall-street-opening-up-2020-2,2020-02-07 0:00:00,0.339816,0.634176,0.026008,Goldman Sachs,relevant
3108760,Verizon accused of violating net neutrality rules by throttling video,https://arstechnica.com/tech-policy/2017/07/verizons-throttling-of-video-should-be-investigated-by-fcc-petition-says/,2017-07-26 0:00:00,0.00435,0.069047,0.926602,AT&T,irrelevant
2566740,"EMMY® Winner Rushion McDonald Celebrates Five Years of Money Making Conversations Master Class, With Special Broadcast on September 27th",https://www.benzinga.com/pressreleases/22/09/n29007415/emmy-winner-rushion-mcdonald-celebrates-five-years-of-money-making-conversations-master-class-with,2022-09-26 0:00:00,0.894668,0.090464,0.014868,McDonald's,irrelevant
8363082,NYC becomes latest city to cut back on ties with Wells Fargo,http://www.startribune.com/variety/425506073.html,2017-05-31 0:00:00,0.032203,0.522759,0.445037,Wells Fargo,relevant
3411762,Galaxy Z Flip 5G now up for preorder if you’d rather not wait for the Note 20,https://www.theverge.com/2020/7/30/21347746/galaxy-z-flip-5g-preorders-open-samsung-unpacked-z-fold-2,2020-07-30 0:00:00,0.068788,0.893272,0.03794,AT&T,irrelevant
1017168,Activists: 1st Amendment Rights Of Undocumented Immigrants Are Often Violated,https://www.npr.org/2018/03/15/593812830/activists-1st-amendment-rights-of-undocumented-immigrants-are-often-violated,2018-03-15 0:00:00,0.023344,0.181958,0.794699,Visa Inc.,irrelevant
584249,"Samsung's Most Luxurious TV Is $2,500 Off at Walmart for Presidents Day",https://people.com/tech/samsung-presidents-day-tv-sale-walmart-amazon/,2020-02-14 0:00:00,0.035762,0.928957,0.035282,Walmart,irrelevant
8362680,U.S. detention of European and Canadian tourists creates fear over traveling to America,https://www.pbs.org/newshour/world/u-s-detention-of-european-and-canadian-tourists-creates-fear-over-traveling-to-america,2025-03-21 0:00:00,0.023886,0.780306,0.195808,Visa Inc.,irrelevant
3397410,Visiongain Publishes Top 20 Connected Aircraft Companies 2020 Report,https://www.thestreet.com/press-releases/visiongain-publishes-top-20-connected-aircraft-companies-2020-report-15301114,2020-04-23 0:00:00,0.222674,0.768414,0.008912,AT&T,irrelevant
6428710,"Sidecar – Uber, Lyft Competitor in Ride-Sharing – Goes Belly Up",http://www.Newsmax.com/TheWire/sidecar-uber-lyft-ride-sharing/2015/12/31/id/707705,2015-12-31 0:00:00,0.113543,0.567095,0.319362,Uber,irrelevant
1025677,His son was killed by the Mexican cartel. This father was faced with the decision: Move or die,http://rssfeeds.cincinnati.com/~/599036796/0/cincinnati-home~His-son-was-killed-by-the-Mexican-cartel-This-father-was-faced-with-the-decision-Move-or-die/,2019-02-28 0:00:00,0.050556,0.44274,0.506705,Visa Inc.,irrelevant
3367111,Where to watch 49ers vs Dolphins game today: Free live stream,https://www.cleveland.com/tv/2024/12/where-to-watch-49ers-vs-dolphins-game-today-free-live-stream.html,2024-12-22 0:00:00,0.019836,0.972397,0.007767,AT&T,irrelevant
3027670,The FCC OKs Streaming for Free—But Net Neutrality Will Pay,https://www.wired.com/2017/02/fcc-oks-streaming-free-net-neutrality-will-pay/,2017-02-03 0:00:00,0.075021,0.40617,0.518809,AT&T,irrelevant
7431643,‘This is a gut check time’: Dan Rather demands Congress make Trump’s intel fiasco their ‘top priority’,http://www.rawstory.com/2017/05/this-is-a-gut-check-time-dan-rather-demands-congress-make-trumps-intel-fiasco-their-top-priority/,2017-05-15 0:00:00,0.008831,0.11755,0.873619,Intel,irrelevant
8498873,From Russia with love: Successful KHL season could relaunch Wideman's NHL career,https://www.stltoday.com/sports/hockey/professional/from-russia-with-love-successful-khl-season-could-relaunch-widemans-nhl-career/article_69dc9a7b-9c26-59bb-99a1-afbbaaf34153.html,2021-07-09 0:00:00,0.664046,0.315398,0.020556,Visa Inc.,irrelevant
3576276,"MetLife gets '26 WC final, USMNT kicks off in L.A.",https://www.espn.com/soccer/story/_/id/39437198/2026-world-cup-final-metlife-stadium-usa-kicks-la,2024-02-04 0:00:00,0.023779,0.971715,0.004506,AT&T,irrelevant
4693982,"Gugu Mbatha-Raw, Richard Madden to Star in Netflix Thriller ‘Trinity’",https://www.hollywoodreporter.com/tv/tv-news/gugu-mbatha-raw-richard-madden-netflix-trinity-1236298284/,2025-06-24 0:00:00,0.030338,0.945736,0.023926,Netflix,irrelevant
3136150,"Spurs brace for red-hot Davis, Pelicans",https://www.foxsports.com/nba/story/spurs-brace-for-red-hot-davis-pelicans-022718,2018-02-28 0:00:00,0.093763,0.87782,0.028417,AT&T,irrelevant
3977873,"Netflix's Grand, Daring, Maybe Crazy Plan to Conquer the World",https://www.wired.com/2016/03/netflixs-grand-maybe-crazy-plan-conquer-world/,2016-03-27 0:00:00,0.718766,0.178436,0.102798,Netflix,relevant
5144297,Lordstown shifts gear to shakier future after GM announcement,https://www.dispatch.com/news/20181202/lordstown-shifts-gear-to-shakier-future-after-gm-announcement?rssfeed=true,2018-12-02 0:00:00,0.128081,0.818069,0.05385,General Motors,irrelevant
437672,Skillz Hires Airbnb Executive Ian Lee As CFO,https://www.thestreet.com/press-releases/skillz-hires-airbnb-executive-ian-lee-as-cfo-15644956,2021-05-04 0:00:00,0.058095,0.901245,0.04066,Airbnb,irrelevant
6667230,Uber lawyer says class action trial in California could set a risky...,http://feeds.reuters.com/~r/reuters/UKBankingFinancial/~3/JtYvVUYt_RQ/uber-tech-drivers-lawsuit-idUKL1N10H47X20150807,2015-08-07 0:00:00,0.036752,0.875307,0.087941,Uber,relevant
226236,"Chobani partners with Airbnb, MasterCard to help end refugee crisis",http://www.cbsnews.com/videos/chobani-partners-with-airbnb-mastercard-to-help-end-refugee-crisis/,2016-01-20 0:00:00,0.622925,0.355379,0.021696,Airbnb,relevant
3486973,"Democrats question TV carriers' decisions to host Fox, OAN and Newsmax, citing 'misinformation'",https://www.politico.com/news/2021/02/22/democrats-conservative-media-misinformation-470863,2021-02-22 0:00:00,0.012308,0.62125,0.366442,AT&T,irrelevant
4061011,Why Did Netflix Decide to Move Forward With a Final Season of House of Cards?,http://www.slate.com/blogs/browbeat/2017/12/08/house_of_cards_season_6_why_did_netflix_move_forward.html,2017-12-08 0:00:00,0.238675,0.551624,0.209702,Netflix,irrelevant
6969880,Prosecutors: South Carolina man killed Uber rider in 2019,https://www.seattletimes.com/nation-world/nation/prosecutors-south-carolina-man-killed-uber-rider-in-2019/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,2021-07-27 0:00:00,0.021128,0.723014,0.255859,Uber,irrelevant
1870457,Starbucks union workers in Buffalo walk out over ‘unsafe’ conditions,https://nypost.com/2022/01/05/starbucks-union-workers-in-buffalo-walk-out-over-unsafe-conditions/,2022-01-05 0:00:00,0.015725,0.268186,0.716088,Starbucks,relevant
10532856,Post Holdings Appoints Dorothy M. Burwell To Board Of Directors,https://www.thestreet.com/press-releases/post-holdings-appoints-dorothy-m-burwell-to-board-of-directors-15364119,2020-07-02 0:00:00,0.228499,0.764464,0.007037,Goldman Sachs,irrelevant
2887384,"Apple Has New iPhone Satellite Features in the Works, Report Says",https://www.cnet.com/tech/services-and-software/apple-has-new-iphone-satellite-features-in-the-works-report-says/#ftag=CADf328eec,2025-11-10 0:00:00,0.043401,0.9499,0.0067,Apple,irrelevant
3405712,Mike Perry says he wasn't drug tested vs. Jake Paul: 'I was surprised',https://mmajunkie.usatoday.com/2024/11/bkfc-news-mike-perry-not-drug-tested-vs-jake-paul-surprised-ufc-mma-boxing,2024-11-12 0:00:00,0.038193,0.875273,0.086534,AT&T,irrelevant
3989525,Microsoft’s Last Windows Update For 600 Million Users—Act Now,https://www.forbes.com/sites/zakdoffman/2025/09/21/microsofts-last-windows-update-for-600-million-users-act-now/,2025-09-21 0:00:00,0.080946,0.851877,0.067177,Microsoft,irrelevant
3175755,Are mergers good or bad for the economy?,https://www.cbsnews.com/news/mergers-and-acquisitions-good-or-bad-for-the-economy/,2016-12-29 0:00:00,0.123115,0.778818,0.098067,AT&T,irrelevant
11895448,Fedex Expects Fewer Packages During Holiday Season,https://www.bloomberg.com/news/articles/2022-10-07/fedex-expects-fewer-packages-during-holiday-season,2022-10-07 0:00:00,0.099108,0.879673,0.021219,FedEx,relevant
8575384,A Trump Manhattan hush money conviction would punch a hole in his election hopes: report,https://www.rawstory.com/trump-hush-money-2667536998/,2024-03-18 0:00:00,0.023161,0.521162,0.455676,Visa Inc.,irrelevant
7147377,"Walmart Deals for Days sale is live – TVs, AirPods, Instant Pot, laptops, and more",https://www.techradar.com/news/walmart-takes-on-amazon-prime-day-with-its-deals-for-days-sale-live-now/,2021-06-20 0:00:00,0.235946,0.736548,0.027506,Walmart,irrelevant
4764892,How Everyday Life in a Real Arctic Community Inspired Netflix’s North of North,https://time.com/7275134/north-of-north-netflix-interview/,2025-04-10 0:00:00,0.269987,0.707472,0.022541,Netflix,irrelevant
2932045,59 Twists & Turns to Verizon's Calculated Play to Go Wireless and to Dismantle & Trash the State-Based Wired Utilities,http://feeds.huffingtonpost.com/c/35496/f/677045/s/49753b64/sc/15/l/0L0Shuffingtonpost0N0Cbruce0Ekushnick0C590Etwists0E0Eturns0Eto0Everiz0Ib0I80A68360A0Bhtml/story01.htm,2015-08-31 0:00:00,0.032402,0.145526,0.822072,AT&T,irrelevant
